0,MC Henriques,"[0.5655052115333333, 0.5655052115333333]"
0,CJ Jordan,"[0.5806084779, 0.5806084779]"
0,SR Watson,"[0.5666816158571428, 0.5666816158571428]"
0,V Kohli,"[0.5747812347083333, 0.5747812347083333]"
0,AB Dinda,"[0.5603412645, 0.5603412645]"
0,Imran Tahir,"[0.5728831473333333, 0.5728831473333333]"
0,DR Smith,"[0.6436489553333333, 0.6436489553333333]"
0,SP Narine,"[0.6396500340000001, 0.6396500340000001]"
0,Shakib Al Hasan,"[0.627120133, 0.627120133]"
0,AD Russell,"[0.6203785661428571, 0.6203785661428571]"
0,NM Coulter-Nile,"[0.5895293213809524, 0.5895293213809524]"
0,DAS Gunaratne,"[0.6063029265, 0.6063029265]"
0,CJ Anderson,"[0.5494526103666666, 0.5494526103666666]"
0,Z Khan,"[0.6330663703333332, 0.6330663703333332]"
1,B Kumar,"[0.5172674968333333, 0.5172674968333333]"
1,KS Williamson,"[0.509365483875, 0.509365483875]"
1,A Nehra,"[0.5141484915000001, 0.5141484915000001]"
1,BCJ Cutting,"[0.4423380546, 0.4423380546]"
1,DJ Hooda,"[0.49403280233333335, 0.49403280233333335]"
1,Mohammad Nabi,"[0.46603420416666674, 0.46603420416666674]"
1,CH Gayle,"[0.45808137537142857, 0.45808137537142857]"
1,HV Patel,"[0.475880949, 0.475880949]"
1,S Aravind,"[0.48979123175000006, 0.48979123175000006]"
1,S Badree,"[0.5239265485714286, 0.5239265485714286]"
1,STR Binny,"[0.4806559580333334, 0.4806559580333334]"
1,YS Chahal,"[0.4890501103333333, 0.4890501103333333]"
1,TM Head,"[0.49695835800000004, 0.49695835800000004]"
1,A Zampa,"[0.5093938012666667, 0.5093938012666667]"
1,DT Christian,"[0.463541185, 0.463541185]"
1,BA Stokes,"[0.5251926158333333, 0.5251926158333333]"
1,SK Raina,"[0.494183530625, 0.494183530625]"
1,AJ Finch,"[0.5111605766428572, 0.5111605766428572]"
1,RA Jadeja,"[0.4565762556666667, 0.4565762556666667]"
1,P Kumar,"[0.5222431535000001, 0.5222431535000001]"
1,PP Chawla,"[0.46208158341666666, 0.46208158341666666]"
1,TA Boult,"[0.5065955724761905, 0.5065955724761905]"
1,SL Malinga,"[0.5464831244571429, 0.5464831244571429]"
1,KV Sharma,"[0.47025494066666673, 0.47025494066666673]"
1,LMP Simmons,"[0.45586582766666667, 0.45586582766666667]"
1,BW Hilfenhaus,"[0.5286510827500001, 0.5286510827500001]"
1,MN Samuels,"[0.4976309118571429, 0.4976309118571429]"
1,CR Brathwaite,"[0.47207035171428574, 0.47207035171428574]"
1,S Nadeem,"[0.44316385225, 0.44316385225]"
1,PJ Cummins,"[0.538656800952381, 0.538656800952381]"
1,HM Amla,"[0.4499721118571428, 0.4499721118571428]"
1,MP Stoinis,"[0.5338169571, 0.5338169571]"
1,VR Aaron,"[0.4649178521666667, 0.4649178521666667]"
1,MM Sharma,"[0.5154167968666667, 0.5154167968666667]"
1,AR Patel,"[0.5305680631666667, 0.5305680631666667]"
2,LH Ferguson,"[0.708505609, 0.708505609]"
2,YK Pathan,"[0.69652540875, 0.69652540875]"
2,MG Johnson,"[0.6924322051666667, 0.6924322051666667]"
2,J Yadav,"[0.7396885216666667, 0.7396885216666667]"
3,Yuvraj Singh,"[0.3700376992619047, 0.3700376992619047]"
3,Mustafizur Rahman,"[0.3088281746, 0.3088281746]"
3,Rashid Khan,"[0.4336928685, 0.4336928685]"
3,PV Tambe,"[0.43036645166666665, 0.43036645166666665]"
3,AF Milne,"[0.39055691805, 0.39055691805]"
3,Iqbal Abdulla,"[0.2991189355, 0.2991189355]"
3,T Shamsi,"[0.378525694, 0.378525694]"
3,P Negi,"[0.40368200805000004, 0.40368200805000004]"
3,SN Thakur,"[0.3789789665, 0.3789789665]"
3,R Bhatia,"[0.41154732625, 0.41154732625]"
3,JD Unadkat,"[0.362390176, 0.362390176]"
3,BB McCullum,"[0.35200783300000005, 0.35200783300000005]"
3,JP Faulkner,"[0.43326515242857144, 0.43326515242857144]"
3,DS Kulkarni,"[0.35582197660000003, 0.35582197660000003]"
3,CR Woakes,"[0.3546893523333334, 0.3546893523333334]"
3,R Powell,"[0.38710042, 0.38710042]"
3,UT Yadav,"[0.31775225041666666, 0.31775225041666666]"
3,MJ McClenaghan,"[0.35171013526666667, 0.35171013526666667]"
3,KH Pandya,"[0.4295851, 0.4295851]"
3,HH Pandya,"[0.3639824246, 0.3639824246]"
3,S Gopal,"[0.3290121073333333, 0.3290121073333333]"
3,R Vinay Kumar,"[0.38664459766666665, 0.38664459766666665]"
3,KA Pollard,"[0.4175291066250001, 0.4175291066250001]"
3,AD Mathews,"[0.40689281183333337, 0.40689281183333337]"
3,CH Morris,"[0.4413865617666667, 0.4413865617666667]"
3,A Mishra,"[0.4322487844642858, 0.4322487844642858]"
3,Anureet Singh,"[0.34112627166666665, 0.34112627166666665]"
3,I Sharma,"[0.32086448775, 0.32086448775]"
3,DJG Sammy,"[0.40727745085714284, 0.40727745085714284]"
3,GJ Maxwell,"[0.4254023448571428, 0.4254023448571428]"
3,R Tewatia,"[0.291961111, 0.291961111]"
3,Sandeep Sharma,"[0.4112549112, 0.4112549112]"
4,S Kaul,"[0.1873585815, 0.1873585815]"
4,Bipul Sharma,"[0.28575819199999997, 0.28575819199999997]"
4,BB Sran,"[0.15173918766666666, 0.15173918766666666]"
4,V Shankar,"[0.25026738, 0.25026738]"
4,A Choudhary,"[0.120452608, 0.120452608]"
4,Sachin Baby,"[0.103532931, 0.103532931]"
4,TS Mills,"[0.25270741516666667, 0.25270741516666667]"
4,B Stanlake,"[0.28268525575000003, 0.28268525575000003]"
4,SPD Smith,"[0.285849274, 0.285849274]"
4,Ankit Sharma,"[0.09160071374999999, 0.09160071374999999]"
4,RD Chahar,"[0.22752701200000003, 0.22752701200000003]"
4,MK Tiwary,"[0.26506260866666664, 0.26506260866666664]"
4,DL Chahar,"[0.06222051149999999, 0.06222051149999999]"
4,IK Pathan,"[0.10103750850000001, 0.10103750850000001]"
4,SB Jakati,"[0.028820794666666667, 0.028820794666666667]"
4,Basil Thampi,"[0.10631407699999999, 0.10631407699999999]"
4,R Dhawan,"[0.19188191175, 0.19188191175]"
4,SA Yadav,"[0.2416616795, 0.2416616795]"
4,C de Grandhomme,"[0.2772120085, 0.2772120085]"
4,DM Bravo,"[0.19834497650000002, 0.19834497650000002]"
4,J Suchith,"[0.159729908, 0.159729908]"
4,N Rana,"[0.2758364035, 0.2758364035]"
4,TG Southee,"[0.2631212057142857, 0.2631212057142857]"
4,JJ Bumrah,"[0.27997476666666665, 0.27997476666666665]"
4,Mohammed Shami,"[0.23445596073333336, 0.23445596073333336]"
4,K Rabada,"[0.24956196700000002, 0.24956196700000002]"
4,M Ashwin,"[0.23228173, 0.23228173]"
4,Swapnil Singh,"[0.08741238050000001, 0.08741238050000001]"
4,P Sahu,"[0.156621529, 0.156621529]"
