Players,Values
SP Narine,0.639650034
PP Chawla,0.462081583
RSS Yadav,0.1
CR Woakes,0.354689352
R Dhawan,0.191881912
S Ghosh,0.1
Kuldeep Yadav,0.376668724
YK Pathan,0.696525409
TA Boult,0.506595572
SA Yadav,0.24166168
C de Grandhomme,0.277212009
I Jaggi,0.1
Shakib Al Hasan,0.627120133
R Powell,0.38710042
CA Lynn,0.392441196
AS Rajpoot,0.36615166
RV Uthappa,0.292465832
DM Bravo,0.198344977
G Gambhir,0.370777143
S Jackson,0.3
MK Pandey,0.317990126
AD Russell,0.620378566
UT Yadav,0.31775225
NM Coulter-Nile,0.589529321
